"ca" "datosECVmas16.prov" "nomprov" "datosECVmas16.gen" "edad" "nac" "neduc" "sitlab" "ingnorm" "horas" "factorel"
13 28 "Madrid" 2 4 1 2 3 9307.9 0 1659.2
13 28 "Madrid" 1 2 1 3 1 19599.1 34.57 3145.3
13 28 "Madrid" 2 2 1 2 1 21013.3 32.66 3145.3
13 28 "Madrid" 1 4 1 3 3 17596.8 0 3081.1
13 28 "Madrid" 2 3 1 2 3 12491.8 0 3081.1
13 28 "Madrid" 2 4 1 2 3 19250.7 0 2576.6
13 28 "Madrid" 1 3 1 1 3 11849 0 2625.8
13 28 "Madrid" 2 3 1 1 3 6067.7 0 2625.8
13 28 "Madrid" 2 2 1 3 1 14700 29.76 2625.8
13 28 "Madrid" 1 4 1 2 3 15449.1 0 2451.6
13 28 "Madrid" 2 4 1 1 3 1307.7 0 2451.6
13 28 "Madrid" 1 2 1 2 1 7731.3 36.2 5032.8
13 28 "Madrid" 2 2 1 3 1 11085.3 33.08 5032.8
13 28 "Madrid" 1 2 1 3 1 15443.6 31.75 3049.5
13 28 "Madrid" 2 2 1 3 1 10114.7 38.06 3049.5
13 28 "Madrid" 2 2 1 2 3 3525.1 0 5596.8
13 28 "Madrid" 1 2 1 2 1 24884.3 31.55 5596.8
13 28 "Madrid" 2 2 1 3 1 14635.2 36.26 3594.1
13 28 "Madrid" 1 2 1 2 1 15860.3 33.93 3594.1
13 28 "Madrid" 1 2 1 3 1 39969.2 41.66 3469.3
13 28 "Madrid" 2 2 1 3 1 18213.4 36.1 3469.3
13 28 "Madrid" 1 3 1 1 1 24631.8 40.67 6239.8
13 28 "Madrid" 2 3 1 2 1 20522.7 35.36 6239.8
13 28 "Madrid" 2 1 1 3 1 4605.4 32.56 6239.8
13 28 "Madrid" 2 1 1 2 3 9885.4 0 6239.8
13 28 "Madrid" 2 2 1 3 3 11884.2 0 3145.3
13 28 "Madrid" 1 2 1 3 1 11421.4 40.76 3145.3
13 28 "Madrid" 1 3 1 2 1 24016.9 30.48 2761.2
13 28 "Madrid" 2 3 1 2 3 7244.7 0 2761.2
13 28 "Madrid" 1 2 1 2 3 34536.8 0 2761.2
13 28 "Madrid" 2 1 1 3 2 38256.4 0 2761.2
13 28 "Madrid" 1 1 1 2 3 20828.7 0 2761.2
